date,heure,convocation,présent
2008-04-14,18:30,2008-04-10,M. Laurent Martinez
2008-04-14,18:30,2008-04-10,M. Jean-Christophe Elineau
2008-04-14,18:30,2008-04-10,Mme Nelly Gillet
2009-04-14,20:00,2009-04-09,M. Michel Fourcade
2009-04-14,20:00,2009-04-09,M. Jean-Luc Blanc-Simon
2009-04-14,20:00,2009-04-09,Mme Angéline Sourigues
2009-04-14,20:00,2009-04-09,M. Serge Dupouy
2009-04-14,20:00,2009-04-09,M. Jean Fornier de Lachaux
2009-04-14,20:00,2009-04-09,M. Jean-Pierre Lassalle
2009-04-14,20:00,2009-04-09,Mme Fabienne Schaerer
2009-04-14,20:00,2009-04-09,M. Alain Marchal
2009-04-14,20:00,2009-04-09,Mme Valérie Gardeils
2009-04-14,20:00,2009-04-09,M. Laurent Martinez
2009-04-14,20:00,2009-04-09,M. Jean-Christophe Elineau
2009-04-14,20:00,2009-04-09,Mme Nelly Gillet
2010-04-13,19:00,2010-04-07,M. Michel Fourcade
2010-04-13,19:00,2010-04-07,M. Jean-Luc Blanc-Simon
2010-04-13,19:00,2010-04-07,Mme Angéline Sourigues
2010-04-13,19:00,2010-04-07,M. Serge Dupouy
2010-04-13,19:00,2010-04-07,Mme Nelly Gillet
2010-04-13,19:00,2010-04-07,M. Jean Fornier de Lachaux
2010-04-13,19:00,2010-04-07,M. Jean-Pierre Lassalle
2010-04-13,19:00,2010-04-07,Mme Fabienne Schaerer
2010-04-13,19:00,2010-04-07,M. Alain Marchal
2010-04-13,19:00,2010-04-07,M. Gilles Laporte
2010-04-13,19:00,2010-04-07,Mme Valérie Gardeils
2010-04-13,19:00,2010-04-07,M. Laurent Martinez
2010-04-13,19:00,2010-04-07,M. Jean-Christophe Elineau
2011-02-14,19:00,2011-02-08,M. Jean-Luc Blanc-Simon
2011-02-14,19:00,2011-02-08,Mme Angéline Sourigues
2011-02-14,19:00,2011-02-08,M. Serge Dupouy
2011-02-14,19:00,2011-02-08,Mme Valérie Gardeils
2011-02-14,19:00,2011-02-08,M. Jean Fornier de Lachaux
2011-02-14,19:00,2011-02-08,M. Jean-Pierre Lassalle
2011-02-14,19:00,2011-02-08,Mme Fabienne Schaerer
2011-02-14,19:00,2011-02-08,M. Alain Marchal
2011-02-14,19:00,2011-02-08,M. Gilles Laporte
2011-02-14,19:00,2011-02-08,M. Jean-Christophe Elineau
2011-02-14,19:00,2011-02-08,M. Jacques Lafitte
2011-02-14,19:00,2011-02-08,M. Jean-Jacques Lesbats
2008-10-15,20:00,2008-10-10,M. Michel Fourcade
2008-10-15,20:00,2008-10-10,M. Yves Morel
2008-10-15,20:00,2008-10-10,M. Jean-Luc Blanc-Simon
2008-10-15,20:00,2008-10-10,Mme Angéline Sourigues
2008-10-15,20:00,2008-10-10,M. Serge Dupouy
2008-10-15,20:00,2008-10-10,M. Jean Fornier de Lachaux
2008-10-15,20:00,2008-10-10,M. Jean-Pierre Lassalle
2008-10-15,20:00,2008-10-10,Mme Fabienne Schaerer
2008-10-15,20:00,2008-10-10,M. Alain Marchal
2008-10-15,20:00,2008-10-10,M. Gilles Laporte
2008-10-15,20:00,2008-10-10,Mme Valérie Gardeils
2008-10-15,20:00,2008-10-10,M. Jean-Christophe Elineau
2008-10-15,20:00,2008-10-10,Mme Nelly Gillet
2010-03-16,20:00,2010-03-11,M. Michel Fourcade
2010-03-16,20:00,2010-03-11,M. Jean-Luc Blanc-Simon
2010-03-16,20:00,2010-03-11,Mme Angéline Sourigues
2010-03-16,20:00,2010-03-11,M. Serge Dupouy
2010-03-16,20:00,2010-03-11,Mme Nelly Gillet
2010-03-16,20:00,2010-03-11,M. Jean Fornier de Lachaux
2010-03-16,20:00,2010-03-11,M. Jean-Pierre Lassalle
2010-03-16,20:00,2010-03-11,M. Gilles Laporte
2010-03-16,20:00,2010-03-11,Mme Valérie Gardeils
2012-07-17,19:00,2012-07-11,M. Jean-Luc Blanc-Simon
2012-07-17,19:00,2012-07-11,Mme Angéline Sourigues
2012-07-17,19:00,2012-07-11,M. Serge Dupouy
2012-07-17,19:00,2012-07-11,Mme Valérie Gardeils
2012-07-17,19:00,2012-07-11,M. Jean Fornier de Lachaux
2012-07-17,19:00,2012-07-11,M. Gilles Laporte
2012-07-17,19:00,2012-07-11,M. Jean-Christophe Elineau
2012-07-17,19:00,2012-07-11,M. Jacques Lafitte
2012-07-17,19:00,2012-07-11,Mme Jessy Pean
2012-09-17,18:30,2012-09-11,M. Jean-Luc Blanc-Simon
2012-09-17,18:30,2012-09-11,Mme Angéline Sourigues
2012-09-17,18:30,2012-09-11,M. Serge Dupouy
2012-09-17,18:30,2012-09-11,Mme Valérie Gardeils
2012-09-17,18:30,2012-09-11,Mme Nelly Gillet
2012-09-17,18:30,2012-09-11,M. Jean Fornier de Lachaux
2012-09-17,18:30,2012-09-11,M. Jean-Pierre Lassalle
2012-09-17,18:30,2012-09-11,Mme Fabienne Schaerer
2012-09-17,18:30,2012-09-11,M. Alain Marchal
2012-09-17,18:30,2012-09-11,M. Jacques Lafitte
2012-09-17,18:30,2012-09-11,M. Jean-Jacques Lesbats
2012-09-17,18:30,2012-09-11,Mme Jessy Pean
2009-05-18,20:00,2009-05-13,M. Michel Fourcade
2009-05-18,20:00,2009-05-13,M. Jean-Luc Blanc-Simon
2009-05-18,20:00,2009-05-13,Mme Angéline Sourigues
2009-05-18,20:00,2009-05-13,M. Serge Dupouy
2009-05-18,20:00,2009-05-13,M. Jean Fornier de Lachaux
2009-05-18,20:00,2009-05-13,M. Jean-Pierre Lassalle
2009-05-18,20:00,2009-05-13,Mme Fabienne Schaerer
2009-05-18,20:00,2009-05-13,Mme Valérie Gardeils
2009-05-18,20:00,2009-05-13,Mme Nelly Gillet
2010-06-19,10:00,2010-06-15,M. Michel Fourcade
2010-06-19,10:00,2010-06-15,M. Jean-Luc Blanc-Simon
2010-06-19,10:00,2010-06-15,Mme Angéline Sourigues
2010-06-19,10:00,2010-06-15,M. Serge Dupouy
2010-06-19,10:00,2010-06-15,Mme Nelly Gillet
2010-06-19,10:00,2010-06-15,M. Jean Fornier de Lachaux
2010-06-19,10:00,2010-06-15,M. Jean-Pierre Lassalle
2010-06-19,10:00,2010-06-15,Mme Fabienne Schaerer
2010-06-19,10:00,2010-06-15,M. Alain Marchal
2010-06-19,10:00,2010-06-15,M. Laurent Martinez
2010-06-19,10:00,2010-06-15,M. Jean-Christophe Elineau
2011-10-20,18:30,2011-10-13,M. Jean-Luc Blanc-Simon
2011-10-20,18:30,2011-10-13,Mme Angéline Sourigues
2011-10-20,18:30,2011-10-13,M. Serge Dupouy
2011-10-20,18:30,2011-10-13,Mme Valérie Gardeils
2011-10-20,18:30,2011-10-13,Mme Nelly Gillet
2011-10-20,18:30,2011-10-13,M. Jean Fornier de Lachaux
2011-10-20,18:30,2011-10-13,M. Jean-Pierre Lassalle
2011-10-20,18:30,2011-10-13,Mme Fabienne Schaerer
2011-10-20,18:30,2011-10-13,M. Alain Marchal
2011-10-20,18:30,2011-10-13,M. Gilles Laporte
2011-10-20,18:30,2011-10-13,M. Jean-Christophe Elineau
2011-10-20,18:30,2011-10-13,M. Jacques Lafitte
2011-10-20,18:30,2011-10-13,M. Jean-Jacques Lesbats
2011-10-20,18:30,2011-10-13,Mme Jessy Pean
2010-10-21,20:00,2010-10-14,M. Jean-Luc Blanc-Simon
2010-10-21,20:00,2010-10-14,Mme Angéline Sourigues
2010-10-21,20:00,2010-10-14,M. Serge Dupouy
2010-10-21,20:00,2010-10-14,Mme Nelly Gillet
2010-10-21,20:00,2010-10-14,M. Jean Fornier de Lachaux
2010-10-21,20:00,2010-10-14,M. Jean-Pierre Lassalle
2010-10-21,20:00,2010-10-14,M. Gilles Laporte
2010-10-21,20:00,2010-10-14,Mme Valérie Gardeils
2009-06-22,20:00,2009-06-16,M. Michel Fourcade
2009-06-22,20:00,2009-06-16,M. Jean-Luc Blanc-Simon
2009-06-22,20:00,2009-06-16,Mme Angéline Sourigues
2009-06-22,20:00,2009-06-16,M. Serge Dupouy
2009-06-22,20:00,2009-06-16,Mme Nelly Gillet
2009-06-22,20:00,2009-06-16,M. Jean Fornier de Lachaux
2009-06-22,20:00,2009-06-16,M. Jean-Pierre Lassalle
2009-06-22,20:00,2009-06-16,Mme Fabienne Schaerer
2009-06-22,20:00,2009-06-16,M. Alain Marchal
2009-06-22,20:00,2009-06-16,M. Gilles Laporte
2009-06-22,20:00,2009-06-16,Mme Valérie Gardeils
2009-06-22,20:00,2009-06-16,M. Jean-Christophe Elineau
2012-10-22,18:30,2012-10-16,M. Jean-Luc Blanc-Simon
2012-10-22,18:30,2012-10-16,Mme Angéline Sourigues
2012-10-22,18:30,2012-10-16,M. Serge Dupouy
2012-10-22,18:30,2012-10-16,Mme Valérie Gardeils
2012-10-22,18:30,2012-10-16,Mme Nelly Gillet
2012-10-22,18:30,2012-10-16,M. Jean Fornier de Lachaux
2012-10-22,18:30,2012-10-16,M. Jean-Pierre Lassalle
2012-10-22,18:30,2012-10-16,Mme Fabienne Schaerer
2012-10-22,18:30,2012-10-16,M. Jean-Christophe Elineau
2012-10-22,18:30,2012-10-16,M. Jacques Lafitte
2012-10-22,18:30,2012-10-16,M. Jean-Jacques Lesbats
2012-10-22,18:30,2012-10-16,Mme Jessy Pean
2008-04-24,20:30,2008-04-21,M. Michel Fourcade
2008-04-24,20:30,2008-04-21,M. Yves Morel
2008-04-24,20:30,2008-04-21,M. Jean-Luc Blanc-Simon
2008-04-24,20:30,2008-04-21,Mme Angéline Sourigues
2008-04-24,20:30,2008-04-21,M. Serge Dupouy
2008-04-24,20:30,2008-04-21,M. Jean Fornier de Lachaux
2008-04-24,20:30,2008-04-21,Mlle Ingrid Galbert
2008-04-24,20:30,2008-04-21,M. Jean-Pierre Lassalle
2008-04-24,20:30,2008-04-21,M. Alain Marchal
2008-04-24,20:30,2008-04-21,M. Laurent Martinez
2008-04-24,20:30,2008-04-21,Mme Nelly Gillet
2008-03-25,18:30,2008-03-21,M. Michel Fourcade
2008-03-25,18:30,2008-03-21,M. Yves Morel
2008-03-25,18:30,2008-03-21,M. Jean-Luc Blanc-Simon
2008-03-25,18:30,2008-03-21,Mme Angéline Sourigues
2008-03-25,18:30,2008-03-21,M. Serge Dupouy
2008-03-25,18:30,2008-03-21,M. Jean Fornier de Lachaux
2008-03-25,18:30,2008-03-21,Mlle Ingrid Galbert
2008-03-25,18:30,2008-03-21,M. Jean-Pierre Lassalle
2008-03-25,18:30,2008-03-21,Mme Fabienne Schaerer
2008-03-25,18:30,2008-03-21,M. Gilles Laporte
2008-03-25,18:30,2008-03-21,Mme Valérie Gardeils
2008-03-25,18:30,2008-03-21,M. Laurent Martinez
2008-03-25,18:30,2008-03-21,M. Jean-Christophe Elineau
2008-03-25,18:30,2008-03-21,Mme Nelly Gillet
2009-10-26,19:00,2009-10-23,M. Michel Fourcade
2009-10-26,19:00,2009-10-23,Mme Angéline Sourigues
2009-10-26,19:00,2009-10-23,M. Serge Dupouy
2009-10-26,19:00,2009-10-23,Mme Nelly Gillet
2009-10-26,19:00,2009-10-23,M. Jean Fornier de Lachaux
2009-10-26,19:00,2009-10-23,M. Jean-Pierre Lassalle
2009-10-26,19:00,2009-10-23,Mme Fabienne Schaerer
2009-10-26,19:00,2009-10-23,M. Alain Marchal
2009-10-26,19:00,2009-10-23,M. Gilles Laporte
2009-10-26,19:00,2009-10-23,Mme Valérie Gardeils
2009-10-26,19:00,2009-10-23,M. Jean-Christophe Elineau
2011-07-27,18:30,2011-07-19,M. Jean-Luc Blanc-Simon
2011-07-27,18:30,2011-07-19,Mme Angéline Sourigues
2011-07-27,18:30,2011-07-19,M. Serge Dupouy
2011-07-27,18:30,2011-07-19,Mme Valérie Gardeils
2011-07-27,18:30,2011-07-19,Mme Nelly Gillet
2011-07-27,18:30,2011-07-19,M. Jean Fornier de Lachaux
2011-07-27,18:30,2011-07-19,Mme Fabienne Schaerer
2011-07-27,18:30,2011-07-19,M. Alain Marchal
2011-07-27,18:30,2011-07-19,M. Gilles Laporte
2011-07-27,18:30,2011-07-19,M. Jacques Lafitte
2011-07-27,18:30,2011-07-19,M. Jean-Jacques Lesbats
2010-09-27,20:00,2010-09-21,M. Jean-Luc Blanc-Simon
2010-09-27,20:00,2010-09-21,Mme Angéline Sourigues
2010-09-27,20:00,2010-09-21,M. Serge Dupouy
2010-09-27,20:00,2010-09-21,Mme Nelly Gillet
2010-09-27,20:00,2010-09-21,M. Jean Fornier de Lachaux
2010-09-27,20:00,2010-09-21,Mme Fabienne Schaerer
2010-09-27,20:00,2010-09-21,M. Alain Marchal
2010-09-27,20:00,2010-09-21,M. Gilles Laporte
2010-09-27,20:00,2010-09-21,Mme Valérie Gardeils
2010-09-27,20:00,2010-09-21,M. Laurent Martinez
2010-09-27,20:00,2010-09-21,M. Jean-Christophe Elineau
2011-03-28,18:30,2011-03-23,M. Jean-Luc Blanc-Simon
2011-03-28,18:30,2011-03-23,Mme Angéline Sourigues
2011-03-28,18:30,2011-03-23,M. Serge Dupouy
2011-03-28,18:30,2011-03-23,Mme Valérie Gardeils
2011-03-28,18:30,2011-03-23,Mme Nelly Gillet
2011-03-28,18:30,2011-03-23,M. Jean Fornier de Lachaux
2011-03-28,18:30,2011-03-23,M. Jean-Pierre Lassalle
2011-03-28,18:30,2011-03-23,Mme Fabienne Schaerer
2011-03-28,18:30,2011-03-23,M. Alain Marchal
2011-03-28,18:30,2011-03-23,M. Gilles Laporte
2011-03-28,18:30,2011-03-23,M. Jean-Christophe Elineau
2011-03-28,18:30,2011-03-23,M. Jacques Lafitte
2011-03-28,18:30,2011-03-23,M. Jean-Jacques Lesbats
2011-03-28,18:30,2011-03-23,Mme Jessy Pean
2010-11-29,18:30,2010-11-24,M. Jean-Luc Blanc-Simon
2010-11-29,18:30,2010-11-24,M. Serge Dupouy
2010-11-29,18:30,2010-11-24,Mme Valérie Gardeils
2010-11-29,18:30,2010-11-24,Mme Nelly Gillet
2010-11-29,18:30,2010-11-24,M. Jean Fornier de Lachaux
2010-11-29,18:30,2010-11-24,M. Jean-Pierre Lassalle
2010-11-29,18:30,2010-11-24,M. Gilles Laporte
2010-11-29,18:30,2010-11-24,M. Laurent Martinez
2010-11-29,18:30,2010-11-24,M. Jean-Christophe Elineau
2010-11-29,18:30,2010-11-24,M. Jacques Lafitte
2010-11-29,18:30,2010-11-24,M. Jean-Jacques Lesbats
2010-11-29,18:30,2010-11-24,Mme Jessy Pean
2011-05-30,20:00,2011-05-24,M. Jean-Luc Blanc-Simon
2011-05-30,20:00,2011-05-24,Mme Angéline Sourigues
2011-05-30,20:00,2011-05-24,M. Serge Dupouy
2011-05-30,20:00,2011-05-24,Mme Valérie Gardeils
2011-05-30,20:00,2011-05-24,Mme Nelly Gillet
2011-05-30,20:00,2011-05-24,M. Jean-Pierre Lassalle
2011-05-30,20:00,2011-05-24,M. Alain Marchal
2011-05-30,20:00,2011-05-24,M. Jean-Christophe Elineau
2011-05-30,20:00,2011-05-24,M. Jean-Jacques Lesbats
2011-05-30,20:00,2011-05-24,Mme Jessy Pean
2009-03-31,,2009-03-25,M. Michel Fourcade
2009-03-31,,2009-03-25,M. Jean-Luc Blanc-Simon
2009-03-31,,2009-03-25,Mme Angéline Sourigues
2009-03-31,,2009-03-25,M. Serge Dupouy
2009-03-31,,2009-03-25,M. Jean Fornier de Lachaux
2009-03-31,,2009-03-25,M. Jean-Pierre Lassalle
2009-03-31,,2009-03-25,M. Alain Marchal
2009-03-31,,2009-03-25,M. Gilles Laporte
2009-03-31,,2009-03-25,Mme Valérie Gardeils
2009-03-31,,2009-03-25,M. Laurent Martinez
2009-03-31,,2009-03-25,Mme Nelly Gillet
2011-10-03,18:30,2011-09-27,M. Jean-Luc Blanc-Simon
2011-10-03,18:30,2011-09-27,Mme Angéline Sourigues
2011-10-03,18:30,2011-09-27,M. Serge Dupouy
2011-10-03,18:30,2011-09-27,Mme Valérie Gardeils
2011-10-03,18:30,2011-09-27,Mme Nelly Gillet
2011-10-03,18:30,2011-09-27,M. Jean Fornier de Lachaux
2011-10-03,18:30,2011-09-27,M. Jean-Pierre Lassalle
2011-10-03,18:30,2011-09-27,Mme Fabienne Schaerer
2011-10-03,18:30,2011-09-27,M. Alain Marchal
2011-10-03,18:30,2011-09-27,M. Gilles Laporte
2011-10-03,18:30,2011-09-27,M. Laurent Martinez
2011-10-03,18:30,2011-09-27,M. Jean-Christophe Elineau
2011-10-03,18:30,2011-09-27,M. Jacques Lafitte
2011-10-03,18:30,2011-09-27,M. Jean-Jacques Lesbats
2011-10-03,18:30,2011-09-27,Mme Jessy Pean
